valor_transacao,numero_cartao,id_lojista,mes_transacao,ano_transacao,dia_transacao,hora_transacao,minuto_transacao,segundo_transacao,indicador_fraude
4671,7558013069802545,1380,1,2012,20,9,57,55,1
30838,7335897785745915,2296,11,2017,2,3,19,45,1
90119,8425774061675279,998,3,2023,24,13,23,49,0
37407,2298650125672260,2060,4,2014,25,19,13,1,1
62239,8370472838269259,3554,10,2016,14,11,7,22,1
56762,3460497908729380,2857,6,2013,11,11,57,13,1
43814,8778536821007818,928,8,2018,23,5,14,45,1
68706,2322339056245364,2301,12,2016,16,7,36,18,1
25905,9609902803711375,3227,10,2021,24,19,28,32,1
85515,9503740943979335,4520,11,2010,7,14,57,59,1
97271,3287684273691315,187,8,2015,20,8,25,10,0
33509,6193102776146043,4436,10,2017,30,13,53,48,0
29604,4520428037611684,4626,6,2015,14,22,0,25,0
89441,4360499855746760,199,11,2021,15,23,46,38,0
44547,7212700721947454,1397,5,2020,13,23,2,12,0
89969,7673113115570162,1602,11,2018,18,5,52,51,0
25259,8425552397162120,897,4,2021,20,19,17,45,0
54221,8763119603941719,4665,4,2017,1,16,20,38,0
42684,2423117226679803,3493,9,2018,3,9,30,42,1
59391,4774303709468620,677,1,2013,22,17,24,59,0
54290,4754557208976841,2186,7,2010,17,7,41,45,0
88573,5174110660079729,3046,10,2012,8,11,20,54,0
8070,7658065218994285,3091,1,2012,30,13,28,10,0
66558,6967553409423105,1468,3,2012,19,22,53,16,0
18630,4834587624484933,158,1,2012,24,4,15,13,1
64453,7958061370360480,4323,2,2022,29,14,11,8,1
73192,9514323079517236,1114,9,2011,24,5,57,46,1
37021,5914312387812211,4426,8,2017,18,17,49,24,1
84881,9975061755926766,891,7,2023,18,0,26,8,0
23946,2726874271922097,207,1,2023,17,8,6,29,1
85662,7636297066821891,1355,7,2017,1,20,22,14,1
87457,6432573369996269,2781,10,2022,25,19,2,42,1
96744,9506962727538595,3298,3,2017,8,18,56,50,1
72726,3932289661309996,1934,11,2013,29,5,48,35,0
34441,3132427429676154,756,9,2021,23,4,34,13,1
50673,3388571075901503,4954,3,2017,29,22,0,1,1
86027,3471289674855506,699,6,2021,23,3,54,41,0
54653,8329774366796180,2821,3,2017,9,4,33,7,0
14634,6288391140139628,3969,10,2024,10,4,9,7,1
6798,6619207922996758,227,11,2013,29,9,41,12,1
90164,9188767478677592,3679,12,2022,5,8,5,10,1
15682,4439403582756517,3779,7,2019,9,10,20,6,0
95687,3099774626167519,1932,10,2020,10,19,32,25,1
18605,7383556123732474,2712,5,2011,15,4,30,57,0
21826,1978857706119534,2421,6,2016,14,23,25,58,1
75331,1827509971405784,4092,6,2020,14,10,59,40,1
45769,3182478773468370,871,10,2017,17,3,24,13,0
74902,5054592608557478,3874,3,2013,22,12,51,4,0
43645,4023874264131891,4412,10,2017,8,17,4,39,1
